6.326,10.97,18.6,512400.0
5.783,18.06,18.6,472500.0
6.064,14.66,18.6,512400.0
5.344,23.09,18.6,420000.0
5.96,17.27,18.6,455700.0
5.404,23.98,18.6,405300.0
5.807,16.03,18.6,470400.0
6.375,9.38,18.6,590100.0
5.412,29.55,18.6,497700.0
6.182,9.47,18.6,525000.0
5.888,13.51,16.4,489300.0
6.642,9.69,16.4,602700.0
5.951,17.92,16.4,451500.0
6.373,10.5,16.4,483000.0
6.951,9.71,17.4,560700.0
6.164,21.46,17.4,455700.0
6.879,9.93,17.4,577500.0
6.618,7.6,17.4,632100.0
8.266,4.14,17.4,940800.0
8.04,3.13,17.4,789600.0
7.163,6.36,17.4,663600.0
7.686,3.92,17.4,980700.0
6.552,3.76,17.4,661500.0
5.981,11.65,17.4,510300.0
7.412,5.25,17.4,665700.0
8.337,2.47,17.4,875700.0
8.247,3.95,17.4,1014300.0
6.726,8.05,17.4,609000.0
6.086,10.88,17.4,504000.0
6.631,9.54,17.4,527100.0
7.358,4.73,17.4,661500.0
6.481,6.36,16.6,497700.0
6.606,7.37,16.6,489300.0
6.897,11.38,16.6,462000.0
6.095,12.4,16.6,422100.0
6.358,11.22,16.6,466200.0
6.393,5.19,16.6,497700.0
5.593,12.5,19.1,369600.0
5.605,18.46,19.1,388500.0
6.108,9.16,19.1,510300.0
6.226,10.15,19.1,430500.0
6.433,9.52,19.1,514500.0
6.718,6.56,19.1,550200.0
6.487,5.9,19.1,512400.0
6.438,3.59,19.1,520800.0
6.957,3.53,19.1,621600.0
8.259,3.54,19.1,898800.0
6.108,6.57,16.4,459900.0
5.876,9.25,16.4,438900.0
7.454,3.11,15.9,924000.0
7.333,7.79,13.0,756000.0
6.842,6.9,13.0,632100.0
7.203,9.59,13.0,709800.0
7.52,7.26,13.0,905100.0
8.398,5.91,13.0,1024800.0
7.327,11.25,13.0,651000.0
7.206,8.1,13.0,766500.0
5.56,10.45,13.0,478800.0
7.014,14.79,13.0,644700.0
7.47,3.16,13.0,913500.0
5.92,13.65,18.6,434700.0
5.856,13.0,18.6,443100.0
6.24,6.59,18.6,529200.0
6.538,7.73,18.6,512400.0
7.691,6.58,18.6,739200.0
6.758,3.53,17.6,680400.0
6.854,2.98,17.6,672000.0
7.267,6.05,17.6,697200.0
6.826,4.16,17.6,695100.0
6.482,7.19,17.6,611100.0
6.812,4.85,14.9,737100.0
7.82,3.76,14.9,953400.0
6.968,4.59,14.9,743400.0
7.645,3.01,14.9,966000.0
7.088,7.85,15.3,676200.0
6.453,8.23,15.3,462000.0
6.23,12.93,18.2,422100.0
6.209,7.14,16.6,487200.0
6.315,7.6,16.6,468300.0
6.565,9.51,16.6,520800.0
6.861,3.33,19.2,598500.0
7.148,3.56,19.2,783300.0
6.63,4.7,19.2,585900.0
6.127,8.58,16.0,501900.0
6.009,10.4,16.0,455700.0
6.678,6.27,16.0,600600.0
6.549,7.39,16.0,569100.0
5.79,15.84,16.0,426300.0
6.345,4.97,14.8,472500.0
7.041,4.74,14.8,609000.0
6.871,6.07,14.8,520800.0
6.59,9.5,16.1,462000.0
6.495,8.67,16.1,554400.0
6.982,4.86,16.1,695100.0
7.236,6.93,18.4,758100.0
6.616,8.93,18.4,596400.0
7.42,6.47,18.4,701400.0
6.849,7.53,18.4,592200.0
6.635,4.54,18.4,478800.0
5.972,9.97,18.4,426300.0
