4.973,12.64,18.4,338100.0
6.122,5.98,18.4,464100.0
6.023,11.72,18.4,407400.0
6.266,7.9,18.4,453600.0
6.567,9.28,18.4,499800.0
5.705,11.5,18.4,340200.0
5.914,18.33,18.4,373800.0
5.782,15.94,18.4,415800.0
6.382,10.36,18.4,485100.0
6.113,12.73,18.4,441000.0
6.426,7.2,19.6,499800.0
6.376,6.87,19.6,485100.0
6.041,7.7,19.6,428400.0
5.708,11.74,19.6,388500.0
6.415,6.12,19.6,525000.0
6.431,5.08,19.6,516600.0
6.312,6.15,19.6,483000.0
6.083,12.79,19.6,466200.0
5.868,9.97,16.9,405300.0
6.333,7.34,16.9,474600.0
6.144,9.09,16.9,415800.0
5.706,12.43,16.9,359100.0
6.031,7.83,16.9,407400.0
6.316,5.68,20.2,466200.0
6.31,6.75,20.2,434700.0
6.037,8.01,20.2,443100.0
5.869,9.8,20.2,409500.0
5.895,10.56,20.2,388500.0
6.059,8.51,20.2,432600.0
5.985,9.74,20.2,399000.0
5.968,9.29,20.2,392700.0
7.241,5.49,15.5,686700.0
6.54,8.65,15.9,346500.0
6.696,7.18,17.6,501900.0
6.874,4.61,17.6,655200.0
6.014,10.53,18.8,367500.0
5.898,12.67,18.8,361200.0
6.516,6.36,17.9,485100.0
6.635,5.99,17.0,514500.0
6.939,5.89,19.7,558600.0
6.49,5.98,19.7,480900.0
6.579,5.49,18.3,506100.0
5.884,7.79,18.3,390600.0
6.728,4.5,17.0,632100.0
5.663,8.05,22.0,382200.0
5.936,5.57,22.0,432600.0
6.212,17.6,20.2,373800.0
6.395,13.27,20.2,455700.0
6.127,11.48,20.2,476700.0
6.112,12.67,20.2,474600.0
6.398,7.79,20.2,525000.0
6.251,14.19,20.2,417900.0
5.362,10.19,20.2,436800.0
5.803,14.64,20.2,352800.0
3.561,7.12,20.2,577500.0
4.963,14.0,20.2,459900.0
3.863,13.33,20.2,485100.0
4.906,34.77,20.2,289800.0
4.138,37.97,20.2,289800.0
7.313,13.44,20.2,315000.0
6.649,23.24,20.2,291900.0
6.794,21.24,20.2,279300.0
6.38,23.69,20.2,275100.0
6.223,21.78,20.2,214200.0
6.968,17.21,20.2,218400.0
6.545,21.08,20.2,228900.0
5.536,23.6,20.2,237300.0
5.52,24.56,20.2,258300.0
4.368,30.63,20.2,184800.0
5.277,30.81,20.2,151200.0
4.652,28.28,20.2,220500.0
5.0,31.99,20.2,155400.0
4.88,30.62,20.2,214200.0
5.39,20.85,20.2,241500.0
5.713,17.11,20.2,317100.0
6.051,18.76,20.2,487200.0
5.036,25.68,20.2,203700.0
6.193,15.17,20.2,289800.0
5.887,16.35,20.2,266700.0
6.471,17.12,20.2,275100.0
6.405,19.37,20.2,262500.0
5.747,19.92,20.2,178500.0
5.453,30.59,20.2,105000.0
5.852,29.97,20.2,132300.0
5.987,26.77,20.2,117600.0
6.343,20.32,20.2,151200.0
6.404,20.31,20.2,254100.0
5.349,19.77,20.2,174300.0
5.531,27.38,20.2,178500.0
5.683,22.98,20.2,105000.0
4.138,23.34,20.2,249900.0
5.608,12.13,20.2,585900.0
5.617,26.4,20.2,361200.0
6.852,19.78,20.2,577500.0
5.757,10.11,20.2,315000.0
6.657,21.22,20.2,361200.0
4.628,34.37,20.2,375900.0
5.155,20.08,20.2,342300.0
4.519,36.98,20.2,147000.0
6.434,29.05,20.2,151200.0
